local,parameter,value,season,month,hour
2017-03-07 00:00:00+05:45,pm25,131.54770642201834,spring,3,0
2017-03-07 01:00:00+05:45,pm25,130.98073394495412,spring,3,1
2017-03-07 02:00:00+05:45,pm25,130.4137614678899,spring,3,2
2017-03-07 03:00:00+05:45,pm25,129.8467889908257,spring,3,3
2017-03-07 04:00:00+05:45,pm25,129.27981651376146,spring,3,4
2017-03-07 05:00:00+05:45,pm25,128.71284403669725,spring,3,5
2017-03-07 06:00:00+05:45,pm25,128.145871559633,spring,3,6
2017-03-07 07:00:00+05:45,pm25,127.5788990825688,spring,3,7
2017-03-07 08:00:00+05:45,pm25,127.01192660550458,spring,3,8
2017-03-07 09:00:00+05:45,pm25,126.44495412844037,spring,3,9
2017-03-07 10:00:00+05:45,pm25,125.87798165137615,spring,3,10
2017-03-07 11:00:00+05:45,pm25,125.31100917431192,spring,3,11
2017-03-07 12:00:00+05:45,pm25,124.74403669724771,spring,3,12
2017-03-07 13:00:00+05:45,pm25,124.17706422018348,spring,3,13
2017-03-07 14:00:00+05:45,pm25,123.61009174311926,spring,3,14
2017-03-07 15:00:00+05:45,pm25,123.04311926605504,spring,3,15
2017-03-07 16:00:00+05:45,pm25,122.47614678899083,spring,3,16
2017-03-07 17:00:00+05:45,pm25,121.9091743119266,spring,3,17
2017-03-07 18:00:00+05:45,pm25,121.34220183486238,spring,3,18
2017-03-07 19:00:00+05:45,pm25,120.77522935779817,spring,3,19
2017-03-07 20:00:00+05:45,pm25,120.20825688073394,spring,3,20
2017-03-07 21:00:00+05:45,pm25,119.64128440366972,spring,3,21
2017-03-07 22:00:00+05:45,pm25,119.0743119266055,spring,3,22
2017-03-07 23:00:00+05:45,pm25,118.50733944954129,spring,3,23
2017-03-08 00:00:00+05:45,pm25,117.94036697247707,spring,3,0
2017-03-08 01:00:00+05:45,pm25,117.37339449541284,spring,3,1
2017-03-08 02:00:00+05:45,pm25,116.80642201834863,spring,3,2
2017-03-08 03:00:00+05:45,pm25,116.2394495412844,spring,3,3
2017-03-08 04:00:00+05:45,pm25,115.67247706422017,spring,3,4
2017-03-08 05:00:00+05:45,pm25,115.10550458715596,spring,3,5
2017-03-08 06:00:00+05:45,pm25,114.53853211009175,spring,3,6
2017-03-08 07:00:00+05:45,pm25,113.97155963302752,spring,3,7
2017-03-08 08:00:00+05:45,pm25,113.4045871559633,spring,3,8
2017-03-08 09:00:00+05:45,pm25,112.83761467889909,spring,3,9
2017-03-08 10:00:00+05:45,pm25,112.27064220183486,spring,3,10
2017-03-08 11:00:00+05:45,pm25,111.70366972477063,spring,3,11
2017-03-08 12:00:00+05:45,pm25,111.13669724770642,spring,3,12
2017-03-08 13:00:00+05:45,pm25,110.56972477064221,spring,3,13
2017-03-08 14:00:00+05:45,pm25,110.00275229357798,spring,3,14
2017-03-08 15:00:00+05:45,pm25,109.43577981651376,spring,3,15
2017-03-08 16:00:00+05:45,pm25,108.86880733944955,spring,3,16
2017-03-08 17:00:00+05:45,pm25,108.30183486238533,spring,3,17
2017-03-08 18:00:00+05:45,pm25,107.7348623853211,spring,3,18
2017-03-08 19:00:00+05:45,pm25,107.16788990825688,spring,3,19
2017-03-08 20:00:00+05:45,pm25,106.60091743119267,spring,3,20
2017-03-08 21:00:00+05:45,pm25,106.03394495412844,spring,3,21
2017-03-08 22:00:00+05:45,pm25,105.46697247706422,spring,3,22
2017-03-09 03:00:00+05:45,pm25,104.9,spring,3,3
2017-03-09 04:00:00+05:45,pm25,119.0,spring,3,4
2017-03-09 05:00:00+05:45,pm25,122.5,spring,3,5
2017-03-09 06:00:00+05:45,pm25,107.2,spring,3,6
2017-03-09 07:00:00+05:45,pm25,127.2,spring,3,7
2017-03-09 08:00:00+05:45,pm25,132.6,spring,3,8
2017-03-09 09:00:00+05:45,pm25,144.0,spring,3,9
2017-03-09 10:00:00+05:45,pm25,157.8,spring,3,10
2017-03-09 11:00:00+05:45,pm25,140.3,spring,3,11
2017-03-09 12:00:00+05:45,pm25,103.4,spring,3,12
2017-03-09 13:00:00+05:45,pm25,67.2,spring,3,13
2017-03-09 14:00:00+05:45,pm25,51.6,spring,3,14
2017-03-09 15:00:00+05:45,pm25,51.5,spring,3,15
2017-03-09 16:00:00+05:45,pm25,52.56666666666667,spring,3,16
2017-03-09 17:00:00+05:45,pm25,53.63333333333333,spring,3,17
2017-03-09 18:00:00+05:45,pm25,54.7,spring,3,18
2017-03-09 19:00:00+05:45,pm25,65.9,spring,3,19
2017-03-09 20:00:00+05:45,pm25,62.2,spring,3,20
2017-03-09 21:00:00+05:45,pm25,71.3,spring,3,21
2017-03-09 22:00:00+05:45,pm25,85.8,spring,3,22
2017-03-09 23:00:00+05:45,pm25,105.0,spring,3,23
2017-03-10 00:00:00+05:45,pm25,115.5,spring,3,0
2017-03-10 01:00:00+05:45,pm25,105.2,spring,3,1
2017-03-10 02:00:00+05:45,pm25,105.2,spring,3,2
2017-03-10 03:00:00+05:45,pm25,101.355,spring,3,3
2017-03-10 04:00:00+05:45,pm25,97.51,spring,3,4
2017-03-10 05:00:00+05:45,pm25,93.665,spring,3,5
2017-03-10 06:00:00+05:45,pm25,89.82000000000001,spring,3,6
2017-03-10 07:00:00+05:45,pm25,85.975,spring,3,7
2017-03-10 08:00:00+05:45,pm25,82.13,spring,3,8
2017-03-10 09:00:00+05:45,pm25,78.285,spring,3,9
2017-03-10 10:00:00+05:45,pm25,74.44,spring,3,10
2017-03-10 11:00:00+05:45,pm25,70.595,spring,3,11
2017-03-10 12:00:00+05:45,pm25,66.75,spring,3,12
2017-03-10 13:00:00+05:45,pm25,62.905,spring,3,13
2017-03-10 14:00:00+05:45,pm25,59.06,spring,3,14
2017-03-10 15:00:00+05:45,pm25,55.215,spring,3,15
2017-03-10 16:00:00+05:45,pm25,51.37,spring,3,16
2017-03-10 17:00:00+05:45,pm25,47.525,spring,3,17
2017-03-10 18:00:00+05:45,pm25,43.68,spring,3,18
2017-03-10 19:00:00+05:45,pm25,39.834999999999994,spring,3,19
2017-03-10 20:00:00+05:45,pm25,35.989999999999995,spring,3,20
2017-03-10 21:00:00+05:45,pm25,32.144999999999996,spring,3,21
2017-03-10 22:00:00+05:45,pm25,28.3,spring,3,22
2017-03-10 23:00:00+05:45,pm25,23.1,spring,3,23
2017-03-11 00:00:00+05:45,pm25,21.5,spring,3,0
2017-03-11 01:00:00+05:45,pm25,20.7,spring,3,1
2017-03-11 02:00:00+05:45,pm25,24.8,spring,3,2
2017-03-11 03:00:00+05:45,pm25,26.9,spring,3,3
2017-03-11 04:00:00+05:45,pm25,25.9,spring,3,4
2017-03-11 05:00:00+05:45,pm25,23.9,spring,3,5
2017-03-11 06:00:00+05:45,pm25,17.4,spring,3,6
2017-03-11 07:00:00+05:45,pm25,17.7,spring,3,7
2017-03-11 08:00:00+05:45,pm25,23.3,spring,3,8
2017-03-11 09:00:00+05:45,pm25,28.1,spring,3,9
2017-03-11 10:00:00+05:45,pm25,40.5,spring,3,10
2017-03-11 11:00:00+05:45,pm25,34.2,spring,3,11
2017-03-11 12:00:00+05:45,pm25,27.1,spring,3,12
2017-03-11 13:00:00+05:45,pm25,22.5,spring,3,13
2017-03-11 14:00:00+05:45,pm25,27.2,spring,3,14
2017-03-11 15:00:00+05:45,pm25,26.6,spring,3,15
